TIME (UTC),y,x,STATION_NAME,TEMP (degC),STATION_PRESSURE (kPa),RELATIVE_HUMIDITY (%),DEW_POINT_TEMP (degC),WIND_SPEED (km/h),WIND_DIRECTION (deg),RAIN_AMOUNT (mm/hr),SNOW_AMOUNT (mm/hr
2024-01-06 10:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.98997275,102.1333739667,70.854073667,-30.683064367,12.969020487600002,286.242680667,,0.0
2024-01-06 11:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.9064262,102.1100305167,71.156767267,-30.557292917,11.3522000652,297.8347295,,0.0
2024-01-06 12:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-26.029567,102.08660280000001,71.992588967,-29.585456317,11.8168030296,300.477056833,,0.0
2024-01-06 13:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.873774217,102.05127656670001,72.859344917,-28.338591483,16.191467204400002,310.438422333,,0.0
2024-01-06 14:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.450073367,102.0512839,73.3400819,-27.857178567,17.7932522412,305.825767333,,0.0
2024-01-06 15:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.166420833,102.06330625000001,74.013023383,-27.483164683,17.6666744952,308.098766167,,0.0
2024-01-06 16:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.146461417,102.0636766,74.3232502,-27.4183972,17.2722243384,307.177974167,,0.0
2024-01-06 17:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.29551245,102.03722585,74.2004328,-27.580957667,17.797280256,305.605460667,,0.0
2024-01-06 18:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.850558467,102.03071466669999,74.185458567,-28.121663583,17.3082562416,309.774373333,,0.0
2024-01-06 19:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.110120433,102.04783660000001,74.191028233,-28.372714667,17.1167131512,309.361984167,,0.0
2024-01-06 20:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.87364685,102.0566195,74.372479333,-28.116921467,17.282615356799997,311.3364925,,0.0
2024-01-06 21:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.493373167,102.0609348333,74.314272667,-27.756355167,22.621897008,312.670455,,0.0
2024-01-06 22:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.813189383,102.070165,74.2740567,-28.072538767,17.9660308212,309.226148833,,0.0
2024-01-06 23:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.460636383,102.08446605,73.910385733,-27.7838139,15.312348936000001,305.006289833,,0.0
2024-01-07 00:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.133069683,102.0783029167,73.7345084,-28.461481117,19.1723472756,306.668197,,0.0
2024-01-07 01:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.190165533,102.07654915,73.3884115,-28.56735515,15.861787812,297.4409875,,0.0
